NAME,URL,INTELLIGENCE,STRENGTH,SPEED,DURABILITY,POWER,COMBAT,FULL_NAME,ALTER_EGOS,ALIASES,PLACE_OF_BIRTH,FIRST_APPEARANCE,CREATOR,ALIGNMENT,GENDER,RACE,HEIGHT,WEIGHT,EYE_COLOR,HAIR_COLOR,OCCUPATION,BASE,TEAM_AFFILIATION,RELATIVES,SKIN_COLOR,TOTAL_POWER
Robin VI,/robin-vi/10-10394/,80,10,25,20,20,70,Carrie Kelley,No alter egos found.,-,Gotham City,-,DC Comics,neutral,Female,Human,- : 0 cm,- lb : 0 kg,Green,Red,-,-,Formerly: Batman Family,-,,225
Robocop,/robocop/10-11178/,90,35,15,80,55,50,Alexander James Murphy,No alter egos found.,OCP Crime Prevention Unit 001,-,Robocop (1987),,good,Male,Cyborg,6'2 : 188 cm,- lb : 0 kg,-,-,-,-,Detroit City Police Department,-,,325
Rocket Raccoon,/rocket-raccoon/10-10010/,80,5,25,30,30,65,Rocket Raccoon,No alter egos found.,"Sharpshooting Space Racoon, Rocky Raccoon, Ranger Rocket",-,"Marvel Preview #7 (June, 1976)",Marvel Comics,good,Male,Animal,4'0 : 122 cm,55 lb : 25 kg,Brown,Brown,"Law enforcement officer, security guard, member of the Guardians of the Galaxy","Knowhere; Formerly Hala, mobile aboard the Rakk'n'Ruin Halfworld, Keystone Quadrant","Guardians of the Galaxy, Marvel Knights",Lylla (mate),,235
Rogue,/rogue/10-831/,90,10,15,30,80,80,Anna Marie,"Rogue (FOX), Thor","Anna Raven, Doctor Kellogg, Mutate 9602, Irene Adler, Miss Smith","Caldecott County, Mississippi",Avengers Annual #10 (1981),Marvel Comics,good,Female,-,5'8 : 173 cm,120 lb : 54 kg,Green,Brown / White,"Adventurer, former mechanic, waitress, terrorist",-,"Advocates Squad (Leader), Cerebro's X-Men, Apocalypse's Horsemen, Formerly: Brotherhood of Mutants, X-Men","Owen (father), Priscilla (mother), Carrie (aunt), Raven Darkh�lme (Mystique, foster mother), Kurt Wagner (Nightcrawler, foster brother), Graydon Creed (foster brother, deceased)",,305
Ronin,/ronin/10-1202/,80,15,25,10,15,80,Clinton Francis Barton,"Goliath, Hawkeye, Hawkeye (MCU)","Formerly Hawkeye, the Marksman, 'Br'er Hawkeye', Superhuman Cellblock Prisoner 334556, Longbow, Goliath, Father Time, Louis, Robin Hood, the Hawkeye Kid, Golden Archer, 'Purple Man;' impersonated Constrictor & Dreadknight","Waverly, Iowa",-,Marvel Comics,good,Male,Human,6'3 : 191 cm,230 lb : 104 kg,Blue,Blond,"Outlaw adventurer, revolutionary; former professional super hero, fugitive, unnoficial S.H.I.E.L.D. operative, federal inmate, CTE security chief, ranch hand, archery tutor, carnival performer, roustabout, butcher shop worker",-,Formerly: New Avengers,"Harold Barton (father), Edith Barton (mother), Charles Bernard ""Barney"" Barton (brother), Barbara Morse 'Bobbi' Barton (Mockingbird, wife), Brett Barton (ancestor), Mack Barton (ancestor); all deceased",,225
Rorschach,/rorschach/10-771/,90,10,30,20,25,80,Walter Joseph Kovacs,No alter egos found.,-,-,"Watchmen #1 (September, 1986)",DC Comics,good,Male,Human,5'6 : 168 cm,140 lb : 63 kg,Blue,Red,"Vigilante, former garment worker",-,"Formerly: Watchmen, The Crimebusters",-,,255
Sabretooth,/sabretooth/10-17/,80,50,40,90,50,100,Victor Creed,Sabretooth (FOX),"Slasher, El Tigre",-,"Iron Fist #14 (August, 1977)",Marvel Comics,bad,Male,Mutant,6'6 : 198 cm,380 lb : 171 kg,Amber,Blond,"mercenary, professional criminal, assassin, serial killer",mobile,"Brotherhood of Evil Mutants, Weapon X, Brotherhood of Mutants, Formerly: Marauders",Grayden Creed (son; deceased),,410
Sage,/sage/10-117/,90,10,15,15,30,60,Tessa,No alter egos found.,-,Place of birth unknown,X-MEN Vol. 1 #132,Marvel Comics,good,Female,-,5'7 : 170 cm,135 lb : 61 kg,Blue,Black,Former Soldier,Base of operations unknown,"Neo-Knights, Formerly: X-Men",-,,220
Sandman,/sandman/10-621/,80,75,50,95,100,60,-,No alter egos found.,"Flint Marko, Sylvester Mann, Quarryman","Queens, New York","Amazing Spider-Man #4 (September, 1963)",Marvel Comics,neutral,Male,Human,6'1 : 185 cm,450 lb : 203 kg,Brown,Brown,Professional Criminal,-,"Wrecking Crew (Leader), The FIRM, Sinister Six, Formerly: Sinister Twelve, Frightful Four","Mrs. Baker (mother), unidentified cousin",,460
Sasquatch,/sasquatch/10-863/,90,80,25,60,15,45,Walter Langkowski,No alter egos found.,"Box, Wanda Langkowski","Edmonton, Alberta, Canada",-,Marvel Comics,good,Male,-,10 : 305 cm,2000 lb : 900 kg,Red,Orange,"Adventurer, bio-physicist, government operative; former college lecturer, professional football player",-,Alpha Flight,"Veronica Langkowsi (ex-wife), unidentified son, Lillian von Loont (Gilded Lily, great-aunt, deceased)",,315
Saturn Girl,/saturn-girl/10-774/,95,10,50,20,90,25,Imra Ardeen-Ranzz,No alter egos found.,Saturn Woman,Titan,Adventure Comics #247,DC Comics,good,Female,Titanian,5'7 : 170 cm,130 lb : 59 kg,Blue,Blond,-,Legion Headquarters,Legion of Super-Heroes,"Garth Ranzz (husband), Ayla Ranzz (sister-in-law), Mekt Ranzz (brother-in-law), Graym Ranzz (son), Garridan Ranzz (son), Dacey Ranzz (daughter), Doritt Ranzz (daughter), Luc Ranzz (father in-law, deceased), Perla Ranzz (mother in-law, deceased), Imra (aunt)",,290
Sauron,/sauron/10-10849/,95,85,35,100,100,70,-,No alter egos found.,"Annatar, Gorthaur the Cruel, Sauron the Dark, The Necromancer, Dark Lord of Mordor, Lord of the Rings, The Great Eye",-,-,J. R. R. Tolkien,bad,Male,Maiar,9'2 : 279 cm,- lb : 0 kg,-,-,-,-,No team connections added yet.,-,,485
Savage Dragon,/savage-dragon/10-1117/,85,70,55,85,70,75,Kurr,No alter egos found.,-,-,-,Image Comics,good,Male,-,- : 0 cm,- lb : 0 kg,-,-,-,-,No team connections added yet.,-,,440
Scarecrow,/scarecrow/10-819/,95,10,15,15,50,50,Jonathan Crane,"Scarebeast, The Scarecrow (Dark Knight), Yellow Lantern",-,-,"WORLD's FINEST COMICS #3 (Fall, 1941)",DC Comics,bad,Male,Human,6'0 : 183 cm,140 lb : 63 kg,Blue,Brown,Special Professional Criminal,Gotham City,Formerly: The Society,-,,235
Scarlet Spider,/scarlet-spider/10-174/,90,55,60,75,50,60,Benjamin Reilly,Spider-Carnage,"Spider-Clone, Spider-Man",Place of birth unknown,Amazing Spider-Man # 149 (as Spider-Clone); Web of Spider-Man # 117 (as Ben Reilly),Marvel Comics,good,Male,Human,5'10 : 178 cm,165 lb : 74 kg,Blue,Blond,Crime-fighter,-,"The Spider Society, Avengers Resistance, Formerly: New Warriors","Peter Parker (clone of), May Parker (Aunt), Ben Parker (Uncle)",,390
Scarlet Spider II,/scarlet-spider-ii/10-1536/,95,55,60,40,40,60,Kaine Parker,No alter egos found.,"Tarantula, Kaine, Ara�a Escarlata",-,"Web of Spider-Man #119 (December, 1994)",Marvel Comics,good,Male,Clone,6'4 : 193 cm,250 lb : 113 kg,Brown,Brown,Fugitive,-,"The Spider Society, Avengers Resistance, Formerly: A-Force","Miles Warren (creator), Peter Parker (Spider-Man, genetic template), Ben Reilly (Scarlet Spider, fellow clone, deceased), Spidercide (fellow clone, allegedly deceased), Guardian (fellow clone, deceased), Jack (fellow clone, deceased)",,350
Scarlet Witch,/scarlet-witch/10-444/,100,10,30,70,100,80,Wanda Maximoff,"Scarlet Witch (HoM), Scarlet Witch (Life Force), Scarlet Witch (MCU)","Wanda Frank, Wanda Magnus, Ana Maximoff, Gypsy Witch, The Witch","Wundagore Mountain, Transia","Uncanny X-Men #4 (March, 1964)",Marvel Comics,bad,Female,Mutant,5'7 : 170 cm,132 lb : 59 kg,Blue,Brown,"Adventurer; formerly witchcraft tutor, housewife, terrorist","Mobile; formerly The Works; Avengers Compound, California; Avengers Mansion, New York","Avengers West Coast (Leader), New Warriors, The Ultimates, Marvel Knights, Secret Defenders, Brotherhood of Evil Mutants, The Mighty Avengers, Gods, Formerly: Avengers, New Avengers","Pietro (Quicksilver, twin brother), Magnus (Magneto, father), Magda Lehnsherr (mother, deceased), Anya (half-sister, deceased), Lorna Dane (Polaris, half-sister), Vision (estranged husband), Django Maximoff (foster father, deceased), Marya Maximoff (foster mother, deceased), Crystal (sister-in-law), Luna (niece), Tommy & Billy (reincarnated sons), Talia Wagner (Nocturne, alternate reality daughter)",,390
Scorpia,/scorpia/10-1123/,75,30,45,30,35,30,Elaine Coll,No alter egos found.,-,-,Spider-Man: Power of Terror limited series #2 (1995),Marvel Comics,bad,Female,-,- : 0 cm,- lb : 0 kg,Green,Red,Professional criminal,-,No team connections added yet.,"Vincent Coll (grandfather, deceased)",,245
Scorpion,/scorpion/10-1041/,80,55,60,85,50,80,MacDonald Gargan,Venom III,"Venom, Spider-Man",-,Amazing Spider-Man #19 (1964),Marvel Comics,bad,Male,Human,6'11 : 211 cm,689 lb : 310 kg,Brown,Brown,"U.S. government agent; former professional criminal, assassin, private detective",-,"The FIRM, Secret Empire",-,,410
Sebastian Shaw,/sebastian-shaw/10-1482/,85,85,15,95,40,60,Sebastian Hiram Shaw,Sebastian Shaw (FOX),-,-,-,Marvel Comics,bad,Male,Mutant,- : 0 cm,- lb : 0 kg,-,-,-,-,Hellfire Club,-,,380
Sentry,/sentry/10-447/,90,100,100,100,100,45,Robert Reynolds,Death Seed Sentry,"Void, Bob, Golden Guardian of Good, John Victor Williams, Scout",-,"Sentry #1 (September, 2000)",Marvel Comics,good,Male,Human,6'2 : 188 cm,194 lb : 87 kg,Blue,Blond,-,"The Watchtower (on top of Stark Tower, where it was formerly located before all memory of him disappeared)","New Warriors, Dark Avengers, Mighty Avengers, Super Soldiers, Gods, Formerly: Horsemen of Apocalypse, New Avengers, Apocalypse's Horsemen, Avengers","Lindy Reynolds (wife, deceased), Mrs. Reynolds (mother)",,535
Shadow King,/shadow-king/10-121/,90,15,30,100,100,75,Amahl Farouk,No alter egos found.,"Professor X, Ananasi, Amahl Farouk, Evil One, Master of the Games; he also impersonated the following mind-controlled subjects (in chronological order): Alexander Flynn, Karma, Cypher, Jacob Reisz, Donald Pierce and probably others",-,X-Men #117 (1979),Marvel Comics,good,-,-,6'1 : 185 cm,330 lb : 149 kg,Red,-,-,"The Astral Plane; Formerly Cairo, Egypt.",Brotherhood of Evil Mutants,-,,410
Shadow Lass,/shadow-lass/10-1195/,85,10,70,20,80,80,-,No alter egos found.,-,Talok VIII,Adventure Comics #365,DC Comics,good,Female,Talokite,5'8 : 173 cm,120 lb : 54 kg,Black,Black,-,-,Legion of Super-Heroes,-,Blue,345
Shadowcat,/shadowcat/10-122/,95,10,25,25,70,70,Katherine Pryde,"Black Vortex, Spider-Girl","Kitty Pryde, Ariel, Sprite, Cat","Deerfield, Illinois","X-Men #129 (January, 1980)",Marvel Comics,good,Female,Mutant,5'6 : 168 cm,110 lb : 50 kg,Hazel,Brown,"Teacher, Adventurer, former student","Xavier Insitute for Higher Learning, Salem Center, New York, formerly Muir Island off the coast of Scotland, formerly Excalibur's Lighthouse, formerly Braddock Manor, England","X-Men, Ultimate X-Men, Formerly: Excalibur","Kate (maternal great-grandmother), Samuel Prydeman (paternal grandfather, deceased), Chava Rosanoff (paternal great-aunt, deceased), Mr. Rosanoff (paternal great-uncle, apparently deceased), Nina (aunt), Carmen Pryde (father, deceased), Theresa Pryde (mother), Kenny (cousin)",,295
Shang-Chi,/shang-chi/10-454/,85,15,30,50,30,100,Shang-Chi,No alter egos found.,The Master of Kung Fu; The Rising and Advancing of the Spirit; Chinaman (by Jack Tarr),-,"Special Marvel Edition #15 (December, 1973)",Marvel Comics,good,Male,Human,5'10 : 178 cm,175 lb : 79 kg,Brown,Black,-,-,No team connections added yet.,"Fu Manchu, father; unnamed mother; Fah Lo Suee, (half-sister); Whispering Shadow (half-brother, deceased)",,310
Shatterstar,/shatterstar/10-124/,85,50,45,65,50,85,Gaveedra Seven,Shatterstar (FOX),Benjamin Russell,Mojoworld,New Mutants #99,Marvel Comics,good,Male,-,6'3 : 191 cm,195 lb : 88 kg,Brown,Red,Warrior,-,Formerly: X-Force,"Longshot (father), Dazzler (mother), Mojo V",,380
Shazam,/shazam/10-278/,95,100,90,95,100,75,William Joseph Batson,"Captain Marvel (Kingdom Come), Shazam (DCEU)","Captain Marvel, The World's Mightiest Mortal, The Big Red Cheese, Captain Thunde","Fawcett City, United States",Whiz Comics no. 2 (1940),DC Comics,good,Male,Human,6'4 : 193 cm,225 lb : 101 kg,Blue,Black,-,-,"Justice League Elite, Young Justice, Formerly: Justice League, Justice Society of America","C.C. Batson (father, deceased), Marilyn Batson (mother, deceased), Ebenezer Batson (uncle), Mary Batson (Mary Marvel, sister)",,555
She-Hulk,/she-hulk/10-125/,95,100,45,100,40,70,Jennifer Walters,"Grey Hulk II, Hulk II",Jade Giantess,"Los Angeles, California",She-Hulk (Vol. 1) #1,Marvel Comics,good,Female,Human,6'7 : 201 cm,700 lb : 315 kg,Green,Green,"Lawyer, Magistra of the Living Tribunal","Law offices of Goodman, Lieber, Kurtzberg, & Holliway; formerly Avengers Mansion; Baxter Building, Four Freedoms Plaza","Defenders, The Ultimates, Hulkbusters, Formerly: A-Force, Future Foundation, Fantastic Four, Avengers","Bruce Banner (Hulk, cousin)",,450
She-Ra,/she-ra/10-10603/,90,100,45,70,100,70,-,No alter egos found.,-,-,-,Mattel,good,Female,Human,- : 0 cm,- lb : 0 kg,-,-,-,-,No team connections added yet.,-,,475
She-Thing,/she-thing/10-461/,85,75,25,80,25,65,Sharon Ventura,Ms Marvel II,"Thing, Ms Marvel",-,Thing #27,Marvel Comics,good,Female,Human / Radiation,6'0 : 183 cm,340 lb : 153 kg,Blue,No Hair,"Prisoner, former adventurer, wrestler, stuntwoman, scuba diver, motorcycle performer",-,"Fantastic Four Incorporated, Formerly: Fantastic Four, Unlimited Class Wrestling Federation, Thunderiders, Frightful Four","Jack Ventura (father, deceased), Mrs. Ventura (mother, deceased)",,355
Shocker,/shocker/10-19/,85,10,25,70,80,60,Herman Schultz,The Shocker (MCU),-,-,Amazing Spider-Man #46,Marvel Comics,bad,Male,Human,5'9 : 175 cm,175 lb : 79 kg,Brown,Brown,"Professional thief, hired assassin","New York City, New York","Black Cat's Gang, Masters of Evil, Sinister Seven, The FIRM, New Enforcers, Secret Empire, Formerly: Sinister Syndicate, Sinister Twelve, Sinister Six",Mr. & Mrs. Schultz (parents),,330
Shriek,/shriek/10-1319/,80,10,25,30,45,45,Frances Louise Barrison,No alter egos found.,Sandra Deel,-,-,Marvel Comics,good,Female,-,5'8 : 173 cm,115 lb : 52 kg,Yellow / Blue,Black,"Former partner of Carnage, Carrion (Malcolm McBride), Demogoblin and Doppelganger). Before she became Shriek, she was a rock band groupie and drug dealer.",-,Carnage Family,"Carnage (adopted husband), Carrion (Malcolm McBride) and Demogoblin (adopted sons), Doppelganger (adopted pet)",,235
Shrinking Violet,/shrinking-violet/10-1188/,,,,,,,-,No alter egos found.,-,-,-,DC Comics,good,Female,-,- : 0 cm,- lb : 0 kg,-,-,-,-,Legion of Super-Heroes,-,,0
Sif,/sif/10-1533/,85,90,70,80,100,70,Sif,Sif (MCU),"Lady Sif, Erika Velez, Mrs. Chambers, Sybil",-,"Journey into Mystery #102 (March, 1964)",Marvel Comics,good,Female,Asgardian,6'2 : 188 cm,425 lb : 191 kg,Blue,Black,-,Broxton/Asgard; Formerly New York City,"Asgardians, Marvel Knights, Thor Corps",Heimdall (brother),,495
Silk,/silk/10-10495/,90,50,75,70,75,65,-,No alter egos found.,-,-,Amazing Spider-Man Vol 3 #4,Marvel Comics,good,Female,Human,- : 0 cm,- lb : 0 kg,Brown,Black,"Vigilante, intern at Fact Channel News, adventurer; former student","Sims Tower, Times Square, Manhattan, New York City, New York; formerly Sims Tower, Times Square, Manhattan, New York City, New York, Earth-3145; Central Park, Manhattan, New York City, New York, Earth-13","Black Cat's Gang, Formerly: Spider-Army","Albert Moon. Sr. (father, estranged), unnamed mother (estranged), Albert Moon, Jr. (brother, estranged), Spider-Man (Peter Parker, bit by same spider)",,425
Silk Spectre,/silk-spectre/10-1057/,,,,,,,Sally Juspeczyk,No alter egos found.,Sally Jupiter,-,-,DC Comics,good,Female,-,- : 0 cm,- lb : 0 kg,-,-,-,-,No team connections added yet.,Silk Spectre II (daughter),,0
Silk Spectre II,/silk-spectre-ii/10-1058/,85,50,70,55,50,90,Laurie Juspeczyk,No alter egos found.,-,-,-,DC Comics,good,Female,-,- : 0 cm,- lb : 0 kg,-,-,-,-,"Watchmen, Formerly: The Crimebusters",Silk Spectre I (mother),,400
Silver Surfer,/silver-surfer/10-127/,80,100,100,90,100,35,Norrin Radd,"Carnage, Fallen One, Silver Surfer (FOX), Silver Surfer (Worthy)",-,Zenn-La,"Fantastic Four, Vol. 1 #48",Marvel Comics,good,Male,Alien,6'4 : 193 cm,225 lb : 101 kg,White,No Hair,"Adventurer, formerly Galactus' Herald",mobile throughout the universe,"Defenders, Neo-Knights, Contingency, Secret Defenders, Annihilators, God Squad, Formerly: Avengers, Star Masters, Heralds of Galactus","Jartran Radd (father, deceased), Elmar Radd (mother, deceased)",Silver,505
Silverclaw,/silverclaw/10-1019/,80,30,35,45,35,45,Maria de Guadalupe Santiago,No alter egos found.,"La Garra Argentado, Daughter of the Volcano God,","The village of Kamekeri, Costa Verde",Avengers #8 (1998),Marvel Comics,good,Female,-,5'2 : 157 cm,110 lb : 50 kg,Brown,Black,"University student, adventurer","Empire State University and Avengers Mansion, New York City, NY",No team connections added yet.,"Jaime Santiago (father), Peliali (mother), Edwin Jarvis (""uncle"")",,270
Sinestro,/sinestro/10-781/,90,85,55,65,100,55,Thaal Sinestro,"Green Lantern, Parallax, Yellow Lantern (BTBATB)","Green Lantern, White Lantern, Yellow Lantern, Parallax, Indigo Lantern","Korugar City, Korugar",Green Lantern Vol 2 #7,DC Comics,neutral,Male,Korugaran,6'7 : 201 cm,205 lb : 92 kg,Black,Black,-,"Ranx, Warworld. formerly New Korugar, Qward, Oa","Sinestro Corps (Leader), The Society, Formerly: Green Lantern Corps, Suicide Squad","Witch Queen (sister, pre-Crisis), Soranik Natu (daughter), Arin Sur (wife, deceased), Abin Sur (brother-in-law, deceased), Amon Sur (nephew)",Red,450
Siren,/siren/10-1387/,80,65,80,60,95,60,Hila,No alter egos found.,-,-,"Aquaman #22 (August, 1965)",DC Comics,bad,Female,Atlantean,5'9 : 175 cm,160 lb : 72 kg,Blue,Purple,-,formely Atlantis,No team connections added yet.,"Mera (twin sister), Aquaman (brother-in-law)",,440
Siren II,/siren-ii/10-1386/,,,,,,,La Sirene la Bailene,No alter egos found.,-,Atlantis,The Titans #5 (1999),DC Comics,bad,Female,-,- : 0 cm,- lb : 0 kg,Black,-,-,-,No team connections added yet.,-,,0
Siryn,/siryn/10-833/,75,10,50,30,50,45,Theresa Rourke Cassidy,No alter egos found.,Theresa Rourke,"Cassidy Keep, County Mayo, Ireland",Spider-Woman (first series) #37,Marvel Comics,bad,Female,-,5'6 : 168 cm,115 lb : 52 kg,Blue,Strawberry Blond,(current) Adventurer (former) Professional Criminal,-,X-Factor,"Sean Cassidy (Banshee, father), Maeve Rourke (mother, deceased), Black Tom Cassidy (cousin)",,260
Skaar,/skaar/10-1341/,80,85,30,90,70,85,-,No alter egos found.,"Savior, Son of Hulk, WorldBreaker, Long Hair, Little Monster, Conan",Sakaar,"World War Hulk #5, 2007",Marvel Comics,good,Male,-,6'6 : 198 cm,400 lb : 180 kg,Green,Black,Warrior,-,"The Runaways, Dark Avengers, Formerly: Thunderbolts","Morris Walters (granduncle), Elaine Banner-Walters (paternal grandaunt, deceased), Brian Banner (paternal grandfather, deceased), Rebecca Banner (paternal grandmother, deceased), She-Hulk (1st cousin once removed), Hulk (father), Caiera the Oldstrong (mother, deceased), Hiro-Kala (Twin brother), Lyra (half-sister)",,440
Snake-Eyes,/snake-eyes/10-10437/,,,,,,,-,No alter egos found.,Xanthian Boulder Crusher,-,"Marvel Team-Up Annual Vol 1 #7 October, 1984",Marvel Comics,bad,Male,Animal,- : 0 cm,- lb : 0 kg,-,-,-,-,No team connections added yet.,-,,0
Snowbird,/snowbird/10-130/,80,35,30,45,70,55,Narya,No alter egos found.,Anne McKenzie-Thompson,"Near Resolute Bay, Northwest Territories, Canada",Uncanny X-Men #120,Marvel Comics,good,Female,-,5'10 : 178 cm,108 lb : 49 kg,White,Blond,"Goddess, adventurer, former records officer",formerly Department H,Alpha Flight,"Hodiak (grandfather), Nelvanna (mother), Richard Lawrence Easton (father, deceased), Michael Twoyoungmen (Shaman, foster father), Douglas Thompson (husband, deceased), unnamed son (deceased)",,315
Sobek,/sobek/10-1166/,80,35,25,50,20,60,Yurrd the Unknown,No alter egos found.,Sobek the Talking Crocodile; The Unknown in Formless Time Before Time; Famine,Nile River; Bioengineered at Oolong Island,52 Week Twenty-Six,DC Comics,good,Male,-,- : 0 cm,- lb : 0 kg,White,No Hair,-,Kahndaq,Black Marvel Family,-,,270
Solomon Grundy,/solomon-grundy/10-782/,55,95,15,100,95,30,Cyrus Gold,No alter egos found.,Marshland Monster,Gotham City,"All-American Comics #61 (October, 1944)",DC Comics,bad,Male,Zombie,9'2 : 279 cm,971 lb : 437 kg,Black,White,-,-,"All-Star Squadron, Extreme Justice, Formerly: Black Lantern Corps","Unnamed wife (deceased); Karin Rykel (possible descendant, deceased); Chrissie Cavendish (possible descendant)",,390
Songbird,/songbird/10-131/,90,40,30,45,55,60,Melissa Joan Gold,No alter egos found.,"Screaming Mimi, Mimi Schwartz, Margie Green","Shoshoni, Wyoming",-,Marvel Comics,good,Female,-,5'5 : 165 cm,145 lb : 65 kg,Green,Red / White,Adventurer; former criminal and wrestler,-,"A.I.M., Thunderbolts","Mimi Gold (mother), Mr. Gold (father)",,320
Space Ghost,/space-ghost/10-1505/,75,20,35,40,95,80,Thaddeus Bach,No alter egos found.,"Ted Ghostel, Tad Ghostal",-,Space Ghost (1966),DC Comics,good,Male,Human,6'2 : 188 cm,250 lb : 113 kg,-,-,-,-,No team connections added yet.,-,,345
Spawn,/spawn/10-842/,90,75,50,100,100,100,Al Simmons,"Divine Spawn, Hell King Spawn, Omega Spawn, Resurrection Spawn, Spawn (Classic)","The One, Hellspawn","Detroit, Michigan (8th level of Hell after rebirth)","Spawn #1 (May, 1992)",Image Comics,good,Male,Demon,6'11 : 211 cm,900 lb : 405 kg,Brown,Black,-,Hell,No team connections added yet.,"Wanda (widow), Cyan (widow's daughter)",,515
Spectre,/spectre/10-784/,95,100,100,100,100,70,-,Aztar,"Spirit of Vengeance, Wrath of God, Spirit of Redemption, Raguel, James Corrigan, Hal Jordan, Cripus Allen",-,"More Fun Comics #52 (February, 1940)",DC Comics,good,Male,God / Eternal,- : 0 cm,- lb : 0 kg,White,No Hair,-,-,"All-Star Squadron, The Presence, Formerly: Justice Society of America, Justice League of America",-,White,565
Speedball,/speedball/10-132/,,,,,,,Robert Baldwin,Penance II,"Penance, Masked Marvel","Springdale, Connecticut","Amazing Spider-Man Annual #22, (chronologically) Speedball #1",Marvel Comics,good,Male,-,- : 0 cm,- lb : 0 kg,-,-,"Student, superhero",Mobile; formerly New Warriors Headquarters,"Formerly: S.H.I.E.L.D., Avengers Resistance","Maddie Baldwin (mother), Justin Baldwin (father)",,0
Speedy,/speedy/10-1015/,,,,,,,"Roy William Harper, Jr.",Arsenal,-,-,-,DC Comics,good,Male,Human,- : 0 cm,- lb : 0 kg,-,-,-,-,No team connections added yet.,-,,0
Speedy,/speedy/10-10558/,80,10,35,20,30,70,Thea Dearden Queen,No alter egos found.,"Thea Merlyn, Mia, Red Arrow",Starling City,Arrow (TV Series) - ""Pilot"",DC Comics,good,Female,Human,- : 0 cm,- lb : 0 kg,Green,Brown,Nightclub Owner,-,"Team Arrow, Justice Legion Alpha","Moira Queen (mother, deceased), Robert Queen (foster father, deceased), Walter Steele (step-father, formerly), Malcolm Merlyn (biological father), Oliver Queen (Green Arrow, half-brother), Tommy Merlyn (half-brother, deceased), William Clayton (nephew)",,245
Spider-Carnage,/spider-carnage/10-957/,65,75,70,75,70,75,Benjamin Reilly,Scarlet Spider,-,-,-,Marvel Comics,bad,Male,Symbiote,- : 0 cm,- lb : 0 kg,-,-,-,-,Carnage Family,-,,430
Spider-Girl,/spider-girl/10-480/,85,40,60,65,55,75,May 'Mayday' Parker,No alter egos found.,-,"New York City, New York","What If? Vol 2 #105 (February, 1998)",Marvel Comics,good,Female,Human,5'7 : 170 cm,119 lb : 54 kg,Blue,Brown,-,"New York City, New York",The Spider Society,-,,380
Spider-Gwen,/spider-gwen/10-10507/,90,55,65,70,70,70,Gwendolyne Stacy,Gwenpool,Spider-Woman,-,Edge of Spider-Verse #2,Marvel Comics,good,Female,Human,5'5 : 165 cm,125 lb : 56 kg,Blue,Blond,-,-,"Warriors of the Great Web, The Spider Society, The Ultimates, Formerly: Spider-Army","George Stacy (father), Helen Stacy (mother, deceased)",,420
Spider-Man,/spider-man/10-133/,100,55,70,75,75,95,Peter Benjamin Parker,"Captain Universe (Spider-Man), Cyborg Spider-Man, Iron Spider, Iron Spider (MCU), Man-Spider, Spider-Hulk, Spider-Man (Black), Spider-Man (MCU), Spider-Man (Worthy), Spider-Man Unlimited, The Human Spider (SONY)","Spiderman, Bag-Man, Black Marvel, Captain Universe, Dusk, Green Hood, Hornet, Mad Dog 336, Peter Palmer, Prodigy, Ricochet, Scarlet Spider, Spider-Boy, Spider-Hulk, Spider-Morphosis","Queens (New York City, New York)",Amazing Fantasy #15,Marvel Comics,good,Male,Human,5'10 : 178 cm,165 lb : 74 kg,Hazel,Brown,"Freelance photographer, teacher","New York, New York","The Spider Society (Leader), New Warriors (Leader), The Six (Leader), Defenders, Avengers Resistance, Marvel Knights, Avengers, Secret Defenders, Daily Bugle, S.H.I.E.L.D., Formerly: Future Foundation, Fantastic Four","Richard Parker (father, deceased), Mary Parker(mother, deceased), Benjamin Parker (uncle, deceased), May Parker (aunt), Mary Jane Watson-Parker (wife), May Parker (daughter, allegedly deceased)",,470
Spider-Man,/spider-man/10-479/,85,65,75,70,70,75,-,No alter egos found.,"Spider-Man 2099, Spiderman",-,"Amazing Spider-Man #365 (August, 1992)",Marvel Comics,good,-,Human,5'10 : 178 cm,170 lb : 77 kg,Red,Brown,"CEO of Alchemax Corporation, Executive Assistant",-,"X-Nation 2099, The Spider Society, The Spider Society",-,,440
Spider-Man,/spider-man/10-10647/,65,65,70,65,70,70,-,No alter egos found.,Spiderman,-,"Ultimate Comics Fallout #4 (October, 2011)",Marvel Comics,good,Male,Human,5'2 : 157 cm,125 lb : 56 kg,Brown,Black,"Student, adventurer, vigilante",-,"The Spider Society, Formerly: The Ultimates",-,,405
Spider-Woman,/spider-woman/10-481/,80,45,45,60,70,70,Jessica Drew,No alter egos found.,"Arachne, Ariadne Hyde, Dark Angel, Dark Angel of San Francisco","London, England","Marvel Spotlight #32 (February, 1977)",Marvel Comics,good,Female,Human,5'10 : 178 cm,130 lb : 59 kg,Green,Black,"Form agent of HYDRA, former bounty hunter, private investigator, adventurer",-,"The Spider Society, Avengers West Coast, S.H.I.E.L.D., Formerly: New Avengers, Avengers, The Ultimates","Jonathan (father, deceased), Merriem (mother, deceased)",,370
Spider-Woman II,/spider-woman-ii/10-483/,,,,,,,-,No alter egos found.,-,-,-,Marvel Comics,good,Female,-,- : 0 cm,- lb : 0 kg,-,-,-,-,The Spider Society,-,,0
